image_figures,labels_densenet,labels_inception,labels_resnet,labels_vgg16,labels_vgg19
image_figures_157.png,"""restaurant"",","""restaurant"",","""cello"",","""barbershop"",","""restaurant"","
image_figures_158.png,"""swing"",","""swing"",","""catamaran"",","""swing"",","""swing"","
image_figures_159.png,"""desk"",","""toaster"",","""microwave oven"",","""microwave oven"",","""microwave oven"","
image_figures_160.png,"""restaurant"",","""restaurant"",","""restaurant"",","""restaurant"",","""restaurant"","
image_figures_161.png,"""dromedary"",","""sawmill"",","""sawmill"",","""ox"",","""dam"","
image_figures_162.png,"""solar thermal collector"",","""laptop computer"",","""solar thermal collector"",","""solar thermal collector"",","""folding chair"","
image_figures_163.png,"""barbershop"",","""restaurant"",","""shoe store"",","""barbershop"",","""barbershop"","
image_figures_164.png,"""library"",","""turnstile"",","""library"",","""turnstile"",","""library"","
image_figures_165.png,"""sawmill"",","""moving van"",","""pole"",","""picket fence"",","""pole"","
image_figures_166.png,"""minivan"",","""golf cart"",","""minivan"",","""minivan"",","""minivan"","
image_figures_167.png,"""sawmill"",","""apiary"",","""garbage truck"",","""stone wall"",","""stone wall"","
image_figures_168.png,"""Afghan Hound"",","""restaurant"",","""library"",","""restaurant"",","""restaurant"","
image_figures_169.png,"""fire engine"",","""fire engine"",","""fire engine"",","""fire engine"",","""fire engine"","
image_figures_170.png,"""shoal"",","""maze"",","""shoal"",","""stretcher"",","""swing"","
image_figures_171.png,"""shipwreck"",","""shipwreck"",","""cliff dwelling"",","""shipwreck"",","""shipwreck"","
image_figures_172.png,"""solar thermal collector"",","""parachute"",","""grocery store"",","""plastic bag"",","""grocery store"","
image_figures_173.png,"""high-speed train"",","""restaurant"",","""library"",","""library"",","""library"","
image_figures_174.png,"""barbershop"",","""billiard table"",","""barbershop"",","""barbershop"",","""bobsleigh"","
image_figures_175.png,"""lakeshore"",","""geyser"",","""lakeshore"",","""valley"",","""valley"","
image_figures_176.png,"""stretcher"",","""mountain bike"",","""stretcher"",","""stretcher"",","""chainsaw"","
image_figures_177.png,"""traffic sign"",","""traffic sign"",","""traffic sign"",","""pole"",","""pole"","
image_figures_178.png,"""mountain bike"",","""traffic sign"",","""traffic sign"",","""cliff dwelling"",","""traffic sign"","
image_figures_179.png,"""restaurant"",","""restaurant"",","""folding chair"",","""restaurant"",","""restaurant"","
image_figures_180.png,"""pole"",","""minivan"",","""pole"",","""pole"",","""pole"","
image_figures_181.png,"""library"",","""library"",","""library"",","""library"",","""library"","
image_figures_182.png,"""apiary"",","""birdhouse"",","""mobile home"",","""mobile home"",","""mobile home"","
image_figures_183.png,"""barbershop"",","""hand plane"",","""library"",","""lab coat"",","""library"","
image_figures_184.png,"""wardrobe"",","""couch"",","""stretcher"",","""four-poster bed"",","""home theater"","
image_figures_185.png,"""crane (machine)"",","""crane (machine)"",","""steam locomotive"",","""pirate ship"",","""crane (machine)"","
image_figures_186.png,"""threshing machine"",","""mountain bike"",","""split-rail fence"",","""maze"",","""ear"","
image_figures_187.png,"""restaurant"",","""restaurant"",","""restaurant"",","""barbershop"",","""barbershop"","
image_figures_188.png,"""toy store"",","""laptop computer"",","""Gordon Setter"",","""Rottweiler"",","""restaurant"","
image_figures_189.png,"""movie theater"",","""volleyball"",","""movie theater"",","""movie theater"",","""volleyball"","
image_figures_190.png,"""seashore"",","""seashore"",","""valley"",","""valley"",","""stone wall"","
image_figures_191.png,"""traffic light"",","""shoal"",","""solar thermal collector"",","""canoe"",","""pole"","
image_figures_192.png,"""prison"",","""restaurant"",","""restaurant"",","""library"",","""library"","
image_figures_193.png,"""restaurant"",","""library"",","""library"",","""desk"",","""library"","
image_figures_194.png,"""prison"",","""couch"",","""projector"",","""library"",","""projector"","
image_figures_195.png,"""ski"",","""knee pad"",","""ski"",","""bobsleigh"",","""bobsleigh"","
image_figures_196.png,"""sports car"",","""minivan"",","""car wheel"",","""sports car"",","""sports car"","
image_figures_197.png,"""toy store"",","""bookstore"",","""guillotine"",","""guillotine"",","""hair spray"","
image_figures_198.png,"""toy store"",","""stage"",","""toy store"",","""lifeboat"",","""unicycle"","
image_figures_199.png,"""tusker"",","""stretcher"",","""African bush elephant"",","""chainsaw"",","""chainsaw"","
image_figures_200.png,"""chainsaw"",","""mobile home"",","""sawmill"",","""chainsaw"",","""dam"","
image_figures_201.png,"""unicycle"",","""turnstile"",","""turnstile"",","""stage"",","""paddle wheel"","
image_figures_202.png,"""Tibetan Mastiff"",","""butcher shop"",","""Tibetan Mastiff"",","""Tibetan Mastiff"",","""turnstile"","
image_figures_203.png,"""mobile home"",","""mobile home"",","""mobile home"",","""mobile home"",","""freight car"","
image_figures_204.png,"""stretcher"",","""punching bag"",","""planetarium"",","""punching bag"",","""punching bag"","
image_figures_205.png,"""restaurant"",","""library"",","""restaurant"",","""folding chair"",","""library"","
image_figures_206.png,"""race car"",","""race car"",","""race car"",","""ambulance"",","""race car"","
image_figures_207.png,"""restaurant"",","""movie theater"",","""restaurant"",","""library"",","""restaurant"","
image_figures_208.png,"""sawmill"",","""suspension bridge"",","""suspension bridge"",","""suspension bridge"",","""sawmill"","
image_figures_209.png,"""sawmill"",","""valley"",","""sawmill"",","""sawmill"",","""stretcher"","
image_figures_210.png,"""restaurant"",","""stage"",","""restaurant"",","""desk"",","""CRT screen"","
image_figures_211.png,"""alp"",","""cliff"",","""cliff"",","""cliff"",","""cliff"","
image_figures_212.png,"""cliff"",","""ostrich"",","""megalith"",","""megalith"",","""shovel"","
image_figures_213.png,"""garbage truck"",","""garbage truck"",","""garbage truck"",","""garbage truck"",","""garbage truck"","
image_figures_214.png,"""crane (machine)"",","""sawmill"",","""harvester"",","""sawmill"",","""plow"","
image_figures_215.png,"""hay"",","""hay"",","""hay"",","""hay"",","""thatched roof"","
image_figures_216.png,"""valley"",","""valley"",","""cliff"",","""cliff"",","""cliff"","
image_figures_217.png,"""promontory"",","""promontory"",","""valley"",","""valley"",","""valley"","
image_figures_218.png,"""valley"",","""valley"",","""valley"",","""valley"",","""valley"","
